ID,Title,Categories,_job_whatsapp,_cnpj_rede_lojas,geolocation_city,geolocation_state_long,geolocation_formatted_address,_job_custom_email,cep
5621,"Cheias de Charme","Outros, Serviços","+undefined 5 43536-1990",22.506.172/0001-74,"Caxias do Sul","Rio Grande do Sul","Rua Coronel Flores, São Pelegrino, Caxias do Sul - RS, 95034-060, Brasil",edipedro@icloud.com,95034-060
5618,"PKC Caxias do Sul","Bares e Restaurantes","+undefined 51 99707-9711",35.188.397/0001-71,"Caxias do Sul","Rio Grande do Sul","Rua Marquês do Herval, 579, Centro, Caxias do Sul - RS, 95020-260, Brasil",pkccaxiasdosul@gmail.com,95020-260
5611,"ATP Vida Saudável","Outros, Suplementos","+55 54 99959-6703",13.102.321/0001-49,"Caxias do Sul","Rio Grande do Sul","Rua Bento Gonçalves, 1335, Centro, Caxias do Sul - RS, 95020-412, Brasil",gustavo@divinainformacao.com.br,
5607,"Ariany Artigos Religiosos e Presentes","Acessórios, Bolsas e mochilas, Brinquedos e bebês, Outros","+undefined 4 83267-0981",79.294.245/0001-29,,,,arianyartigosreligiosos@gmail.com,88270-000
5604,"The Bulltique Vino Bar","Bares e Restaurantes","+55 31 98385-5580",54.165.333/0001-08,"Belo Horizonte","Minas Gerais","Rua Maria Madalena Esteves, 206, Minaslândia, Belo Horizonte - MG, 31812-115, Brasil",thebulltiquevinobar@gmail.com,31812-115
5593,"Go Coffee Cafeteria","Bares e Restaurantes","+55 47 99201-8920",46.208.144/0001-39,Indaial,"Santa Catarina","Avenida Getúlio Vargas, Centro, Indaial - SC, 89080-024, Brasil",lucimaraeliasdesouza@gmail.com,89080-024
5590,"Ótica Conceitus Oculare","Ótica e joalheria","+undefined 49 98868-5194",37.789.533/0001-04,Chapecó,"Santa Catarina","Avenida Fernando Machado, Centro, Chapecó - SC, 89802-112, Brasil",oticaconceitus7@gmail.com,89802-110
5587,"Print-Jet Cartuchos e Impressoras","Informática, Serviços","+undefined 47 99229-7800",51.764.749/0001-46,Indaial,"Santa Catarina","Rua Marechal Deodoro da Fonseca, Centro, Indaial - SC, 89080-060, Brasil",contatoprintjet@gmail.com,89080-057
5584,"AJS &#8211; Treinamento &amp; Desenvolvimento",Outros,"+undefined 48 99917-5724",52.124.078/0001-11,Florianópolis,"Santa Catarina","Rua Julião Benjamin da Lapa, Açores, Florianópolis - SC, 88067-415, Brasil",professor.ajs@gmail.com,88067-415
5571,"CNR MATERIAIS DE CONSTRUÇÃO LTDA","Casa e construção","+55 3 12537-2033",13.556.759/0006-01,"Belo Horizonte","Minas Gerais","Avenida Dom Pedro II, 1450, Bonfim, Belo Horizonte - MG, 31210-442, Brasil",cnronline@cnr.com.br,30710-010
5568,"Tapas y Besos Bar","Bares e Restaurantes","+55 51 99452-4600",57.387.968/0001-30,"Porto Alegre","Rio Grande do Sul","Cais Embarcadero, Avenida Mauá, 1050, Centro Histórico, Porto Alegre - RS, 90010-110, Brasil",pedro@grupovenzon,90010-110
5564,GESSOMAT,"Casa e construção","+55 62 98588-4042",00.058.199/0001-09,"Aparecida de Goiânia",Goiás,"Rua Em-25, Vila Sul, Aparecida de Goiânia - GO, 74910-730, Brasil",gessomatltda@yahoo.com.br,74935-880
5560,"1001 Festas",Outros,"+55 31 99929-3670",22.300.487/0001-60,"Belo Horizonte","Minas Gerais","Rua dos Goitacazes, Centro, Belo Horizonte - MG, 30190-051, Brasil",adriane.almeida@1001festas.com.br,
5557,"Ótica Moderna","Ótica e joalheria, Relógios","+55 47 98472-8756",04.692.577/0001-62,Portão,"Rio Grande do Sul","Rua Santo Inácio, 13, Centro, Portão - RS, 93180-000, Brasil",marketing1@oticamoderna.com,88270-000
5554,"F R JUNGBLUT E CIA LTDA",Informática,"+55 51 98445-9932",10.527.930/0001-51,"Santa Cruz do Sul","Rio Grande do Sul","Rua Ernesto Alves, Centro, Santa Cruz do Sul - RS, 96810-144, Brasil",fabio@mercoplast.com.br,96810-144
5549,"MERCOPLAST DISTRIBUIDORA GRAFICA E SIGNS LTDA",Informática,"+55 51 98445-9932",02.062.767/0001-70,"Santa Cruz do Sul","Rio Grande do Sul","Rua Professor Aloísio Boufleur, Rauber, Santa Cruz do Sul - RS, 96835-744, Brasil",fabio@mercoplast.com.br,
5546,"JP Pellizzari Embalagens",Papelaria,"+55 54 99998-1711",19.181.925/0001-04,"Caxias do Sul","Rio Grande do Sul","Rua Alice Cestari Mantovani, Samuara, Caxias do Sul - RS, 95112-290, Brasil",vendas@jpembalagens.com.br,95112-290
5543,"VSTORE OUTLET",Vestuário,"+55 54 99128-0528",38.219.258/0001-56,"Caxias do Sul","Rio Grande do Sul","Rua Danilo Antônio Bridi, Bela Vista, Caxias do Sul - RS, 95072-140, Brasil",vstore.caxias@gmail.com,95072-140
5540,"SUPERMERCADO PIQUIRI",Supermercado,"+55 5 19318-6446",45.097.812/0001-35,Paracatu,"Minas Gerais","Rua Geraldo O. Melo, Paracatu - MG, 38600-000, Brasil",joseleelesbao@gmail.com,96520-000
5537,"SUPERMERCADO SUPER BOM",Supermercado,"+55 51 98571-4362",16.650.704/0001-40,"Vale de Cambra",,"Santa Cruz, Vale de Cambra, Portugal",comercialpozebom@yahoo.com.br,96875-000
5534,"SUPERMERCADO SWAROWSKY",Supermercado,"+55 5 13708-1058",04.243.727/0001-50,Cachoeirinha,"Rio Grande do Sul","Avenida General Flores da Cunha, Cachoeirinha - RS, 94910-003, Brasil",supermercadoswarowsky@yahoo.com.br,96890-000
5531,"SUPERMERCADO SCHWEICKARDT",Supermercado,"+55 5 13711-8736",07.800.561/0001-14,"Santa Cruz do Sul","Rio Grande do Sul","Avenida Prefeito Orlando Oscar Baumhardt, Linha Santa Cruz, Santa Cruz do Sul - RS, 96822-050, Brasil",fiscal.schweickardt@gmail.com,96822-050
5528,"SUPERMERCADO LIMBERGER",Supermercado,"+55 51 99993-2260",11.467.035/0001-51,"Rio Pardo","Rio Grande do Sul","Rincão del Rei, Rio Pardo, RS, Brasil",celso.limberger@hotmail.com,96640-000
5525,"SUPERMERCADO HALMENSCHLAGER",Supermercado,"+55 5 13718-1713",35.881.103/0001-92,Apiaí,"São Paulo","Rua Cipriano de Oliveira, Apiaí - SP, 18320-000, Brasil",mercado.h@hotmail.com,96880-000
5522,"SUPERMERCADO BELLE VILLE LTDA",Supermercado,"+55 51 98417-7347",35.881.103/0001-92,"Santa Cruz do Sul","Rio Grande do Sul","Linha João Alves, 3010 - Bar do Raul, João Alves, Santa Cruz do Sul - RS, Brasil",schmitzsupermercado@gmail.com,96826-001
5189,"Ótica Nova Visão","Ótica e joalheria","+55 3 13322-0726",24.415.703/0001-49,"Belo Horizonte","Minas Gerais","Rua Leonil Prata, 433, Alípio de Melo, Belo Horizonte - MG, 30830-610, Brasil",oticasnovavisao2016@gmail.com,30830-610
5391,"Magazine Diniz",Outros,"+55 31 98485-4200",47.325.845/0001-10,"Belo Horizonte","Minas Gerais","Avenida Professor Mário Werneck, 120, Das Mansões, Belo Horizonte - MG, 30455-610, Brasil",marketingmagazinediniz@gmail.com,
5388,IDSIGN,"Certificado Digital","+55 11 99873-3461",25.448.009/0001-90,"São Paulo","São Paulo","Rua Praia do Paraíso, Jaraguá, São Paulo - SP, 02820-075, Brasil",marketing@idsign.com.br,04103-001
5519,"Magazine Luiza","Eletrodomésticos, Eletroportáteis, Móveis e decorações","+55 85 98569-3798",47.960.950/0001-21,Franca,"São Paulo","Rua Voluntários da Franca, Centro, Franca - SP, 14400-490, Brasil",gerente727@magazineluiza.com.br,
5516,"Supermercado Delize",Supermercado,"+55 5 12340-1500",20.289.487/0002-62,"Santa Cruz do Sul","Rio Grande do Sul","Rua São José, Goiás, Santa Cruz do Sul - RS, 96810-460, Brasil",superdelizefilial@gmail.com,96810-460
5444,"Motel Aquarius","Produtos +18, Serviços","+55 54 99976-0798",89.665.871/0001-38,"A Estrada",Galicia,"A Estrada, Galicia, España",contato@motelaquarius.com,95181-899
5440,Zaziwe,Vestuário,"+undefined 62 99327-4616",01.117.641/0001-93,Goiânia,Goiás,"Avenida Bernardo Sayão, Marechal Rondon, Goiânia - GO, 74550-025, Brasil",Onivaldorl@hotmail.com,74550-025
5497,OBRADEC,"Casa e construção","+55 53 13465-5400",17.502.576/0001-50,"Belo Horizonte","Minas Gerais","Rua Niquelina, 800, Santa Efigênia, Belo Horizonte - MG, 30260-100, Brasil",obradec@obradecmateriais.com.br,30260-100
5513,"DELIZE SUPERMERCADOS",Supermercado,"+55 5 13053-0123",20.289.487/0001-81,"Santa Cruz do Sul","Rio Grande do Sul","Rua Fernando Abott, Centro, Santa Cruz do Sul - RS, 96810-072, Brasil",superdelize@gmail.com,96810-148
5510,"SUPERMERCADO ROTH",Supermercado,"+55 5 13719-2019",14.569.908/0001-25,"Santa Cruz do Sul","Rio Grande do Sul","Rua do Moinho, Centro, Santa Cruz do Sul - RS, 96810-082, Brasil",supermercadoroth@yahoo.com.br,96830-065
5506,"SUPERMERCADO SCHWENGBER",Supermercado,"+55 5 13719-3957",95.147.971/0001-75,"Santa Cruz do Sul","Rio Grande do Sul","Rua Johanes Karl Klemm, Santo Antônio, Santa Cruz do Sul - RS, 96835-250, Brasil",mercadosch@terra.com.br,96835-250
5503,"MERCADO TERRASUL",Supermercado,"+55 5 13750-3001",97.097.133/0001-60,"Campo Erê","Santa Catarina","Estrada para Linha Formosa, Campo Erê - SC, 89980-000, Brasil",mercadoterrasul@hotmail.com,96878-000
5499,"MERCADO GABE",Supermercado,"+55 51 99914-4983",94.539.129/0001-16,,,,gabedenise@hotmail.com,96878-000
5494,"MERCADO HECK",Supermercado,"+55 5 13717-1373",20.916.991/0001-64,"Santa Cruz do Sul","Rio Grande do Sul","Rua Andrade Neves, Universitário, Santa Cruz do Sul - RS, 96815-720, Brasil",mercadoheck231@gmail.com,96815-720
5491,"SUPERMERCADO AGNES",Supermercado,"+55 5 13715-1330",04.622.246/0001-56,"Campinas do Sul","Rio Grande do Sul","Rua General Daltro Filho, Campinas do Sul - RS, 99660-000, Brasil",mercadoagnesltda@hotmail.com,96830-190
5488,"GUIFERLI SUPERMERCADO",Supermercado,"+55 51 99742-6510",00.850.167/0001-41,Mangueirinha,Paraná,"Mangueirinha, PR, Brasil",mercadoguiferli@yahoo.com.br,96530-000
5485,"MERCADO LASSEN",Supermercado,"+55 51 99495-0889",94.671.369/0001-70,Cuiabá,"Mato Grosso","Rua Maurício Cardoso, Cidade Alta, Cuiabá - MT, 78030-425, Brasil",lassenmercado@gmail.com,95918-000
5482,"MERCADO NILAWISCH",Supermercado,"+55 5 13715-3185",07.950.061/0001-69,"Póvoa de Varzim",,"Rua da Pedreira, 4490-209 Póvoa de Varzim, Portugal",mercadonilawisch@hotmail.com,96845-010
5479,"MERCADO SÃO MIGUEL",Supermercado,"+55 5 13717-2894",15.120.681/0001-07,"Santa Cruz do Sul","Rio Grande do Sul","Rua Lino Manoel dos Santos, Santa Vitória, Santa Cruz do Sul - RS, 96841-032, Brasil",mercado_sao_miguel@outlook.com,96841-032
5476,"MERCADO E AÇOUGUE BOM PREÇO",Supermercado,"+55 5 13690-1018",89.319.982/0001-92,"Santa Cruz do Sul","Rio Grande do Sul","Alto Paredão, Alto Paredão, Santa Cruz do Sul - RS, 96853-000, Brasil",mercadoacouguebompreco@yahoo.com.br,96853-000
5473,"SUPERMERCADO ALTO DA SERRA",Supermercado,"+55 51 99683-0103",94.136.827/0001-70,Candelária,"Rio Grande do Sul","RSC-153, Boa Vista, Candelária - RS, 96930-000, Brasil",alto_serra@yahoo.com.br,96890-000
5470,"MERCADO CHARQUEADA",Supermercado,"+55 5 13723-8025",10.771.333/0001-78,"Cachoeira do Sul","Rio Grande do Sul","Mercado Charqueada Redefort, Estrada Volta da Charqueada, 2095, Cachoeira do Sul - RS, 96505-830, Brasil",mercadocharqueada@hotmail.com,96505-830
5467,"BIG PÃO SUPERMERCADO",Supermercado,"+55 5 13731-7261",92.682.806/0001-25,Itajubá,"Minas Gerais","Avenida dos Ferroviários, Morro Chic, Itajubá - MG, Brasil",bigpaoredefort@gmail.com,9664-000
5464,"JW Máquinas",Oficina,"+undefined 61 98421-8814",37.553.269/0001-05,"Zona Industrial","Distrito Federal","Zona Industrial, DF, Brasil",joaopedro@jwmaquinas.com.br,71200-055
5460,"Gran Motel Dubai","Produtos +18, Serviços","+55 54 98432-8173",12.165.596/0001-69,"Caxias do Sul","Rio Grande do Sul","Santa Lúcia, Rua Jacob Luchesi, Santa Catarina, Caxias do Sul - RS, 95032-000, Brasil",contato@granmoteldubai.com.br,95032-000
5458,"1001 Festas",Outros,"+55 31 99929-3670",22.300.487/0001-60,"Belo Horizonte","Minas Gerais","Rua dos Goitacazes, 865, Centro, Belo Horizonte - MG, 30190-051, Brasil",adriane.almeida@1001festas.com.br,
5455,Fascínio,Vestuário,"+55 48 99645-7011",11.737.198/0001-07,"Nova Trento","Santa Catarina","Rua José Batistti Archer, 723, Nova Trento - SC, 88270-000, Brasil",lojafascinio_nt@hotmail.com,88270-000
5452,"Fascínio For Men",Vestuário,"+55 48 99921-9868",18.663.672/0001-42,"Nova Trento","Santa Catarina","Rua José Batistti Archer, 723, Nova Trento - SC, 88270-000, Brasil",fascinioformen@hotmail.com,88270-000
5448,"Drogaria Araujo","Farmácias e drogarias","+55 5 53270-5000",17.256.512/0001-16,"Belo Horizonte","Minas Gerais","Rua Curitiba, 327, Centro, Belo Horizonte - MG, 30170-120, Brasil",clarice.aroeira@araujo.com.br,
5437,"Arroba Tech Cursos",Serviços,"+55 4 73312-7303",04.158.632/0001-39,Indaial,"Santa Catarina","Rua Marechal Floriano Peixoto, 444, Dos Estados, Indaial - SC, 89130-000, Brasil",arrobatechindaial@gmail.com,89080-066
5433,"CDL JOVEM",Serviços,"+55 85 98894-4957",08.829.512/0001-77,Fortaleza,Ceará,"Rua Vinte e Cinco de Março, Centro, Fortaleza - CE, 60060-120, Brasil",cdljovem@cdljovemfor.com.br,60060-120
5429,"Cris odorizzi","Beleza e perfumaria","+undefined 47 98474-3851",21.734.013/0001-64,Indaial,"Santa Catarina","Rua Marechal Floriano Peixoto, Centro, Indaial - SC, 89080-063, Brasil",Crislaine.estetic@gmail.com,89080-066
5426,"Carnes Garcia LTDA","Outros, Supermercado","+undefined 3 23721-2837",38.319.849/0001-03,Muriaé,"Minas Gerais","Rua Gil Moreira, Muriaé - MG, 36884-112, Brasil",casacgarcia@gmail.com,36884-112
5423,"Marlus Perillo &#8211; Especialista em Direito de Trânsito",Outros,"+55 64 99929-7456",49.666.863/0001-91,Goiânia,Goiás,"Rua 233, Leste Universitário, Goiânia - GO, Brasil",marlus@perillosadvogados.com.br,74605-120
5420,"Maqdima Ferramentas e Equipamentos LTDA","Casa e construção, Outros","+55 4 93361-6000",81.373.441/0001-30,Chapecó,"Santa Catarina","Avenida Fernando Machado, 3435, Bela Vista, Chapecó - SC, 89804-000, Brasil",sac@maqdima.com.br,
5417,"Supermercado Bittencourt",Supermercado,"+55 4 83267-0048",75.812.115/0001-80,Canoinhas,"Santa Catarina","Rua José Boiteux, 15, Centro, Canoinhas - SC, 89460-000, Brasil",super.bittencourt@hotmail.com,88270-000
5404,"Agropecuária Ruberti",Outros,"+55 48 98436-0969",95.793.204/0001-33,Cariacica,"Espírito Santo","Rua José Valentin, 26, Centro, Cariacica - ES, 29156-190, Brasil",agroruberti@gmail.com,88270-000
5401,"Drogaria Jéssyca","Farmácias e drogarias","+55 48 99145-3979",78.834.694/0001-50,Florianópolis,"Santa Catarina","Praça Getúlio Vargas, 340, Centro, Florianópolis - SC, 88020-030, Brasil",drogariajessyca@yahoo.com.br,88270-000
5398,"Vinhos Girola",Outros,"+55 48 99663-7606",97.427.199/0001-70,"Nova Trento","Santa Catarina","Rua Madre Paulina, 2379, Nova Trento - SC, 88270-000, Brasil",contato@vinhosgirola.com.br,88270-000
5395,"Alfero Cervejaria e Bar","Bares e Restaurantes","+55 4 89162-8775",11.099.262/0001-71,,,,cdlnovatrento@gmail.com,88270-000
5386,"Autoescola GP Brasil.",Serviços,"+55 4 73333-0410",01.968.417/0001-05,Indaial,"Santa Catarina","Rua Minas Gerais, Tapajós, Indaial - SC, 89080-317, Brasil",joelgpbrasil@gmail.com,89080-239
5379,"Autoescola Nações",Serviços,"+55 47 99151-1020",07.740.910/0001-50,Indaial,"Santa Catarina","Rua Expedicionário Hercílio Gonçalves, Das Nações, Indaial - SC, 89130-000, Brasil",jbdg8@hotmail.com,89082-012
5381,"Relojoaria Na Hora","Relógios, Serviços","+undefined 85 98680-1020",09.152.201/0002-60,Fortaleza,Ceará,"Rua Lauro Nogueira, Papicu, Fortaleza - CE, 60175-055, Brasil",nahorariomarf@gmail.com,60175-055
5376,"Arte Flores","Móveis e decorações","+55 49 93522-4784",04.731.476/0001-53,Joaçaba,"Santa Catarina","Joaçaba, SC, Brasil",artefloreseventos@yahoo.com.br,89600-000
5374,"Autoescola GP Brasil.",Serviços,"+55 54 73333-0410",01.968.417/0001-05,Indaial,"Santa Catarina","Rua Minas Gerais, Tapajós, Indaial - SC, 89080-317, Brasil",joelgpbrasil@gmail.com,89080-239
5370,p.move,Serviços,"+55 6 13599-5909",36.956.750/0001-89,"Asa Sul","Distrito Federal","CLS 214 Bloco B, Asa Sul - DF, 70293-510, Brasil",lucia@pmove.com.br,70293-020
5367,"Tonini Guindastes e Serviços Ltda",Serviços,"+55 49 99975-6993",81.369.985/0001-29,Capinzal,"Santa Catarina","Rua João Tonini, 179, Capinzal - SC, 89665-000, Brasil",financeiro@toniniguindastes.com.br,89665-000
5364,"POSTO PETROMASA",Outros,"+55 75 99844-8233",48.653.585/0001-75,"Feira de Santana",Bahia,"Avenida Presidente Dutra, Centro, Feira de Santana - BA, 44001-425, Brasil",fiscall@redebrax.com.br,44001-544
5152,"Lojas REDE","Beleza e perfumaria","+55 31 99762-1002",05.159.973/0001-91,"Belo Horizonte","Minas Gerais","Rua dos Carijós, 539, Centro, Belo Horizonte - MG, 30120-064, Brasil",isabel.finelli@lojasrede.com.br,
5318,"Julia Valentini","Acessórios, Bolsas e mochilas, Outros, Vestuário","+undefined 48 99609-4949",23.852.035/0001-54,Portel,,"Rua Dr. José Hipólito 10, 7220-417 Portel, Portugal",juliacerutti1991@gmail.com,
5309,"Monetti Consultoria Tributaria",Serviços,"+55 62 99366-2828",58.888.327/0001-21,Goiânia,Goiás,"Rua T-29, Bueno, Goiânia - GO, 74210-050, Brasil",joaocarlos@monetticonsultoria.com.br,74210-050
5305,Bellamalha,Vestuário,"+55 54 99265-0827",02.910.509/0001-05,"Caxias do Sul","Rio Grande do Sul","Rua Coronel Flores, São Pelegrino, Caxias do Sul - RS, 95034-060, Brasil",bellamalha@yahoo.com.br,95034-060
5268,"Loja Elétrica","Casa e construção","+55 3 14020-2882",17.155.342/0003-45,"Belo Horizonte","Minas Gerais","Rua Professor José Vieira de Mendonça, Engenho Nogueira, Belo Horizonte - MG, 31310-260, Brasil",daniele@lojaeletrica.com.br,31310-260
5251,"Cia da Saúde",Suplementos,"+55 48 99181-3444",14.874.219/0001-24,"São Gonçalo","Rio de Janeiro","Rua Marechal Floriano Peixoto, 46, Covanca II, São Gonçalo - RJ, 24425-475, Brasil",cianovatrento@redeciadasaude.com.br,88270-000
5248,"Fort Lar Materiais de Construção","Casa e construção","+55 4 83267-0164",08.179.457/0001-17,"Nova Trento","Santa Catarina","Rua Santo Inácio, 369, Nova Trento - SC, 88270-000, Brasil",contato@fortlar.net,88270-000
5245,"Torento Sushi Bar","Bares e Restaurantes","+undefined 48 98466-9176",24.731.699/0001-28,"Nova Trento","Santa Catarina","Rua Santo Inácio, 730, Nova Trento - SC, 88270-000, Brasil",Torentosushibar@gmail.com,88270-000
5242,"Cleidicy Enxovais","Cama, mesa e banho","+55 62 99120-1231",15.432.816/0001-61,Goiânia,Goiás,"Laboratório Padrão-Unidade Morada do Sol, Avenida Mangalô, Finsocial, Goiânia - GO, 74474-251, Brasil",cleidyenxovais1@gmail.com,74475-115
5212,"IMPERIO DAS MALHAS",Acessórios,"+55 62 98201-3339",08.655.478/0001-61,Goiânia,Goiás,"Avenida Minas Gerais, Campinas, Goiânia - GO, 74510-040, Brasil",imperiodasmalhas2@gmail.com,74510-040
5238,Cosmética,"Beleza e perfumaria","+undefined 8 53181-7396",11.806.688/0003-80,Fortaleza,Ceará,"Rua Lauro Nogueira, Papicu, Fortaleza - CE, 60175-055, Brasil",Cosméticariomar@gmail.com,60176-065
5233,"Mariana Amaral Acessórios","Ótica e joalheria","+undefined 48 99191-9060",11.734.903/0001-12,"São José","Santa Catarina","Rua Francisco Nappi, Ipiranga, São José - SC, 88111-600, Brasil",marciosilveriofilho@gmail.com,88111-600
5226,"Certificado Digital &#8211; CDL Goiânia","Certificado Digital","+55 62 98408-3811",01.643.840/0001-35,Goiânia,Goiás,"Rua 8, Setor Santa Rita, Goiânia - GO, 74369-876, Brasil",gerencia.operacao@cdlgoiania.com.br,74115-100
5223,"Bem Estar Móveis e Decoração","Móveis e decorações","+55 54 99138-6735",02.071.237/0001-99,Erechim,"Rio Grande do Sul","Rua Nelson Ehlers, 522, Centro, Erechim - RS, 99700-398, Brasil",augusto@bemestarmoveis.com.br,99700-398
5220,"Cia das Artes Gráfica","Papelaria, Serviços","+55 62 98431-2791",28.968.061/0001-66,"Lauro de Freitas",Bahia,"Jardim Aeroporto, Lauro de Freitas, BA, Brasil",contato@ciadasartesgrafica.com.br,76330-000
5217,"Sierra Soluções em Seguros",Serviços,"+undefined 54 99616-4432",24.393.691/0001-07,"Caxias do Sul","Rio Grande do Sul","Rua Tronca, 2660, Rio Branco, Caxias do Sul - RS, 95010-100, Brasil",afonsorlz@hotmail.com,95010-100
5214,"Van Gogh Papelaria",Papelaria,"+55 31 98778-9554",42.973.230/0003-49,"Belo Horizonte","Minas Gerais","Avenida Coronel José Dias Bicalho, São José, Belo Horizonte - MG, 31275-050, Brasil",contato@vangoghpapelaria.com.br,31275-050
5210,"Vstore Outlet",Vestuário,"+undefined 54 99128-0528",38.219.258/0001-56,"Caxias do Sul","Rio Grande do Sul","Rua Danilo Antônio Bridi, Bela Vista, Caxias do Sul - RS, 95072-140, Brasil",Vstore.caxias@gmail.com,95072-140
5205,"LOOK CERTO",Outros,"+55 6 23089-0016",18.522.787/0001-17,Imbituba,"Santa Catarina","Rua Quintino Bocaiúva, 95, Centro, Imbituba - SC, 88780-000, Brasil",lookcertogyn@hotmail.com,7451-505
5203,"Comercial Luiz Feller","Cama, mesa e banho","+55 48 99617-7706",00.740.028/0001-65,"São João del Rei","Minas Gerais","Rua Marechal Deodoro, 8, Centro, São João del Rei - MG, 36300-074, Brasil",cdlnovatrento@gmail.com,88270-000
5197,"Di Casa colchões e roupas de cama","Cama, mesa e banho","+undefined 4 89969-9751",45.728.023/0001-55,"Nova Trento","Santa Catarina","Rua Alferes, 1477, Nova Trento - SC, 88270-000, Brasil",lojadicasacolchao@gmail.com,88270-000
5194,"Barão da Navalha Barbearia Premium","Beleza e perfumaria","+55 48 98419-3931",22.359.364/0001-03,Florianópolis,"Santa Catarina","Rua Desembargador Pedro Silva, Coqueiros, Florianópolis - SC, 88080-700, Brasil",Diego@baraodanavalha.com.br,
5191,"Cervejaria Fora da Lei","Bares e Restaurantes","+55 51 98014-4565",52.201.981/0001-39,"Porto Alegre","Rio Grande do Sul","Avenida Assis Brasil, Passo da Areia, Porto Alegre - RS, 91010-005, Brasil",eduardo@foradalei.com.br,91010-001
